Draw Date,White Balls,MegaBall,Jackpot
03/18/2025,27 28 31 32 33,24,$301 Million
03/14/2025,3 17 39 42 70,1,$277 Million
03/11/2025,1 19 26 38 69,15,$256 Million
03/07/2025,8 20 48 58 60,7,$233 Million
03/04/2025,14 19 47 52 70,6,$215 Million
02/28/2025,9 19 30 35 66,16,$197 Million
02/25/2025,4 8 11 32 52,13,$181 Million
02/21/2025,1 13 28 37 46,10,$165 Million
02/18/2025,1 20 25 58 61,22,$145 Million
02/14/2025,11 19 31 49 56,16,$129 Million
02/11/2025,7 30 39 41 70,13,$110 Million
02/07/2025,4 24 32 41 55,16,$94 Million
02/04/2025,14 24 31 53 54,1,$77 Million
01/31/2025,9 28 48 56 63,2,$59 Million
01/28/2025,10 19 31 47 56,6,$44 Million
01/24/2025,8 12 43 52 62,18,$28 Million
01/21/2025,27 30 56 64 65,22,$20 Million
01/17/2025,8 10 37 54 69,22,$113 Million
01/14/2025,4 14 35 49 62,6,$95 Million
01/10/2025,9 23 39 65 66,22,$77 Million
01/07/2025,20 24 33 39 48,18,$62 Million
01/03/2025,20 42 46 59 69,19,$42 Million
12/31/2024,13 22 27 29 35,1,$20 Million
12/27/2024,3 7 37 49 55,6,$1.269 Billion
12/24/2024,11 14 38 45 46,3,$1 Billion
12/20/2024,2 20 51 56 67,19,$862 Million
12/17/2024,56 66 67 68 69,18,$760 Million
12/13/2024,36 43 52 58 65,16,$695 Million
12/10/2024,12 14 26 48 52,21,$619 Million
12/06/2024,16 21 33 39 45,24,$579 Million
12/03/2024,52 60 61 66 67,23,$541 Million
11/29/2024,3 29 34 37 38,17,$514 Million
11/26/2024,5 22 24 39 42,3,$489 Million
11/22/2024,13 20 26 32 65,2,$453 Million
11/19/2024,5 35 50 51 59,8,$420 Million
11/15/2024,5 17 35 55 69,19,$387 Million
11/12/2024,18 31 33 64 68,17,$361 Million
11/08/2024,25 28 42 64 69,19,$334 Million
11/05/2024,2 24 25 52 58,9,$303 Million
11/01/2024,11 22 42 46 51,4,$281 Million
10/29/2024,16 22 26 36 56,1,$250 Million
10/25/2024,23 26 35 41 43,7,$229 Million
10/22/2024,8 43 48 58 60,4,$205 Million
10/18/2024,4 9 26 39 58,23,$185 Million
10/15/2024,22 34 44 54 62,3,$169 Million
10/11/2024,3 10 29 52 57,20,$150 Million
